Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1484697303,JER1863,NY,PAS,06/10/2022,67,SDN,TOYOT,P,34330,179,0,20221210,10.0,10,1,160195,0001,0.0,1037A,,NY,F,,W 28TH ST,CHELSEA PK,0,408,E3,,BBBBBBB,ALL,ALL,BLK,0.0,2004,-,0,,,,,
1484697315,KEV4487,NY,PAS,06/13/2022,51,SUBN,JEEP,K,34310,16400,11010,20220908,10.0,10,1,160195,0001,0.0,1045A,,NY,O,436,27TH DR,,0,408,F3,,BBBBBBB,ALL,ALL,GRAY,0.0,2017,-,0,,,,,
1484697625,H73NYD,NJ,PAS,06/19/2022,63,SDN,JEEP,N,30640,13015,28540,0,1.0,1,1,161315,0001,0.0,1116A,,NY,,109,SOUTH ST,,0,408,F3,,BBBBBBB,ALL,ALL,GRAY,0.0,0,-,0,,,,,
1484697674,GJC9296,NY,PAS,06/19/2022,63,SUBN,LEXUS,N,30640,13015,28540,20230820,1.0,1,1,161315,0001,0.0,1052A,,NY,,109,SOUTH ST,,0,408,F3,,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,,,
1484697686,M51PUV,NJ,PAS,06/19/2022,63,SDN,HYUND,N,30640,13015,28540,0,1.0,1,1,161315,0001,0.0,1107A,,NY,,109,SOUTH ST,,0,408,F3,,BBBBBBB,ALL,ALL,BLUE,0.0,0,-,0,,,,,
1484697698,H73NYD,NJ,PAS,06/23/2022,63,,JEEP,K,30640,13015,28540,0,1.0,1,1,161315,0001,0.0,1050A,,NY,O,109,SOUTH ST,,0,408,E3,,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,,,
1484697728,M51PUV,NJ,PAS,06/23/2022,63,,HYUND,K,30640,13015,28540,0,1.0,1,1,161315,0001,0.0,1101A,,NY,O,109,SOUTH ST,,0,408,F3,,BBBBBBB,ALL,ALL,BLUE,0.0,0,-,0,,,,,
1484698204,KJJ8637,NY,PAS,06/20/2022,67,SUBN,TOYOT,N,11585,26390,15010,20230120,5.0,5,1,160954,0001,0.0,1205P,,NY,F,,COLEMAN PLAYGROUND,,0,408,E3,,BBBBBBB,ALL,ALL,WHITE,0.0,2021,-,0,,,,,
1484698381,JEC8631,NY,PAS,06/19/2022,98,SUBN,NISSA,N,0,0,0,20230121,10.0,10,1,161348,0001,0.0,0535P,,NY,,,S/S W 28TH STREET,W/O 9TH AVENUE,0,408,B,,BBBBBBB,ALL,ALL,BLK,0.0,2002,-,0,,,,,
1484698721,K21PNH,NJ,PAS,06/25/2022,10,SUBN,JEEP,K,33190,25190,31990,0,6.0,6,1,161134,0001,0.0,0307P,,NY,O,40,WASHINGTON SQ SO,,0,408,B,,BBBBBBB,ALL,ALL,RED,0.0,0,-,0,,,,,
1484698769,LVK1404,PA,PAS,06/05/2022,10,SUBN,NISSA,P,33190,25190,31990,0,6.0,6,1,161134,0001,0.0,0225P,,NY,O,40,WASHINGTON SQUARE SO,,0,408,B,,BBBBBBB,ALL,ALL,GY,0.0,0,-,0,,,,,
1484699683,KSX6366,FL,PAS,06/25/2022,51,SUBN,SUBAR,K,30640,24050,0,20230713,1.0,1,1,161331,0001,0.0,0320P,,NY,,,SOUTH ST,JOHN ST,0,408,C4,,BBBBBBB,ALL,ALL,GRAY,0.0,2005,-,0,,,,,
1484699750,GCX5397,NY,PAS,06/19/2023,63,SUBN,CHEVR,N,30640,13015,28540,20230103,1.0,1,1,161331,0001,0.0,1102A,,NY,O,109,SOUTH ST,,0,408,F3,,BBBBBBB,ALL,ALL,WHT,0.0,2010,-,0,,,,,
1484703261,KUH5328,NY,PAS,06/09/2022,45,SDN,NISSA,K,0,0,0,20240321,45.0,45,2,160541,0002,0.0,0606P,,BX,F,1,PARK RD,ORCHARD BEACH PARKIN,0,408,F3,,BBBBBBB,ALL,ALL,BLK,0.0,2002,-,0,,,,,
1484710629,KUH1765,NY,OMS,06/30/2022,14,SDN,TOYOT,K,33340,0,0,20220930,100.0,100,3,160561,0003,0.0,1250P,,Q,F,,B 97 ST,SHORE FT PKWY,0,408,C,,BBBBBBB,ALL,ALL,BLACK,0.0,2022,-,0,,,,,
1484717909,HJJ9998,NY,PAS,06/10/2022,20,SUBN,HONDA,K,34440,0,0,20221205,101.0,101,3,160296,0003,0.0,1031A,,Q,O,,B 125TH ST,PARKING LOT,0,408,C,,BBBBBBB,ALL,ALL,RED,0.0,2005,-,0,,,,,
