YEAR,DAY_OF_WEEK,FL_DATE,MKT_CARRIER_AIRLINE_ID,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,10423,1042302,30423,"Austin, TX",TX,1115,1137,14,1151,1417,4,1355,1421,0,0,100,104,619,22,0,4,0,0
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,10423,1042302,30423,"Austin, TX",TX,1435,1435,10,1445,1703,18,1715,1721,0,0,100,106,619,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,10800,1080003,32575,"Burbank, CA",CA,1900,1902,9,1911,2000,3,2005,2003,0,0,125,121,672,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,10821,1082106,30852,"Baltimore, MD",MD,1555,1559,11,1610,2125,14,2130,2139,0,0,215,220,1670,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,11259,1125904,30194,"Dallas, TX",TX,645,643,9,652,915,4,930,919,0,0,105,96,580,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,11259,1125904,30194,"Dallas, TX",TX,945,939,10,949,1213,3,1230,1216,0,0,105,97,580,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,11259,1125904,30194,"Dallas, TX",TX,1235,1345,9,1354,1614,5,1520,1619,0,0,105,94,580,0,0,59,0,0
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,11259,1125904,30194,"Dallas, TX",TX,1415,1547,8,1555,1814,7,1655,1821,0,0,100,94,580,0,0,84,0,2
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,11259,1125904,30194,"Dallas, TX",TX,1715,1800,9,1809,2031,7,2000,2038,0,0,105,98,580,3,0,0,0,35
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,11292,1129202,30325,"Denver, CO",CO,715,,,,,,840,,1,0,85,,349,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,11292,1129202,30325,"Denver, CO",CO,1025,1114,12,1126,1222,6,1150,1228,0,0,85,74,349,0,38,0,0,0
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,11292,1129202,30325,"Denver, CO",CO,1645,1742,11,1753,1851,15,1810,1906,0,0,85,84,349,12,0,0,0,44
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,11292,1129202,30325,"Denver, CO",CO,2015,2156,9,2205,2302,8,2140,2310,0,0,85,74,349,0,0,0,0,90
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,12191,1219103,31453,"Houston, TX",TX,700,659,13,712,957,5,1005,1002,0,0,125,123,759,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,12191,1219103,31453,"Houston, TX",TX,1620,1705,10,1715,1953,11,1915,2004,0,0,115,119,759,0,0,4,0,45
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,12889,1288904,32211,"Las Vegas, NV",NV,600,556,8,604,615,6,645,621,0,0,105,85,486,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,12889,1288904,32211,"Las Vegas, NV",NV,1100,1056,9,1105,1118,5,1140,1123,0,0,100,87,486,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,12889,1288904,32211,"Las Vegas, NV",NV,1350,1402,9,1411,1423,4,1430,1427,0,0,100,85,486,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,12889,1288904,32211,"Las Vegas, NV",NV,1820,1912,9,1921,1936,5,1900,1941,0,0,100,89,486,0,0,0,0,41
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,12892,1289208,32575,"Los Angeles, CA",CA,1540,1541,8,1549,1630,9,1645,1639,0,0,125,118,677,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,13232,1323202,30977,"Chicago, IL",IL,1210,1420,7,1427,1735,3,1545,1738,0,0,155,138,1121,0,0,0,0,113
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,13796,1379609,32457,"Oakland, CA",CA,530,533,14,547,658,5,710,703,0,0,160,150,889,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,14107,1410702,30466,"Phoenix, AZ",AZ,545,537,12,549,644,4,715,648,0,0,90,71,328,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,14107,1410702,30466,"Phoenix, AZ",AZ,1130,1156,12,1208,1259,5,1300,1304,0,0,90,68,328,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,14107,1410702,30466,"Phoenix, AZ",AZ,1935,1949,13,2002,2059,7,2100,2106,0,0,85,77,328,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,14679,1467903,33570,"San Diego, CA",CA,1030,1029,14,1043,1115,3,1125,1118,0,0,115,109,628,,,,,
2023,1,1/2/23 0:00,19393,10140,1014005,30140,"Albuquerque, NM",NM,14679,1467903,33570,"San Diego, CA",CA,1635,1657,11,1708,1741,3,1730,1744,0,0,115,107,628,,,,,
2023,1,1/2/23 0:00,19393,10257,1025702,30257,"Albany, NY",NY,10821,1082106,30852,"Baltimore, MD",MD,520,520,10,530,625,6,650,631,0,0,90,71,289,,,,,
2023,1,1/2/23 0:00,19393,10257,1025702,30257,"Albany, NY",NY,10821,1082106,30852,"Baltimore, MD",MD,935,931,7,938,1033,4,1055,1037,0,0,80,66,289,,,,,
2023,1,1/2/23 0:00,19393,10257,1025702,30257,"Albany, NY",NY,10821,1082106,30852,"Baltimore, MD",MD,1240,1236,7,1243,1336,9,1355,1345,0,0,75,69,289,,,,,
2023,1,1/2/23 0:00,19393,10257,1025702,30257,"Albany, NY",NY,10821,1082106,30852,"Baltimore, MD",MD,1735,1740,7,1747,1842,5,1855,1847,0,0,80,67,289,,,,,
2023,1,1/2/23 0:00,19393,10257,1025702,30257,"Albany, NY",NY,11292,1129202,30325,"Denver, CO",CO,1700,1715,6,1721,1928,12,1920,1940,0,0,260,265,1610,0,0,5,0,15
