summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehucle_body_type,vehicle_make ,issuing_agency ,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,violation_in_front_of_or_opposite,house_number,street_name,intersecting_street,law_section,sub_division,days_parking_in_effect,from_hours_in effect,to_hours_in_effect,vehicle_color,unregistered,vehicle_year,meter_number,feet_from_curb,,,,,
63803.00,ZD269Z,NJ,PAS,8/20/19,98,SDN,,P,81230,52130,94730,0,83,83,83,926694,83,0,1000A,K,F,237,STARR ST,,408,D,BBBBBBB,ALL,ALL,GREEN,0,0,-,0,,,,,
1357959527.00,74716MB,NY,COM,8/20/19,46,P-U,TOYOT,P,35810,40404,40404,20140331,24,24,24,945039,24,0,0350P,NY,F,855,W 102 ST,,408,F1,BBBBBBB,ALL,ALL,WHT,0,2006,-,0,,,,,
1347735847.00,DLM6991,NY,PAS,8/20/19,67,VAN,DODGE,P,42730,85730,54070,20140102,79,79,165,953897,165,0,0310P,K,F,1456,FULTON ST,,408,E2,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1353314571.00,88809JY,NY,COM,8/23/19,38,VAN,FORD,T,34910,10810,10910,20131231,18,18,0,348553,0NIC,0,0245P,NY,F,325,W 57 ST,,408,D1,YYYYYYB,0900A,0700P,WH,0,2010,-,0,,,,,
1353604998.00,14478JY,NY,COM,8/23/19,46,DELV,FRUEH,P,25390,18710,18730,0,19,19,401,923913,401,0,0326P,NY,F,1180,MADISON AVE,,408,F1,YYYYYYY,ALL,ALL,WH,0,2007,-,0,,,,,
1353605024.00,3026PC,NY,COM,8/23/19,46,DELV,INTER,P,10010,18410,18430,20140131,19,19,401,923913,401,0,0905A,NY,F,1330,1ST AVE,,408,F1,YYYYYYY,ALL,ALL,WH,0,2014,-,0,,,,,
1356949307.00,24542PC,NY,COM,8/30/19,46,TRLR,MAZDA,P,0,40404,40404,20131130,33,33,33,926024,33,0,1019A,NY,F,1327,ST NICHAOLS AVE,,408,F1,BBBBBBB,ALL,ALL,RED,0,2013,-,0,,,,,
1351667671.00,FRT249,99,PAS,9/1/19,19,SDN,SUBAR,P,83630,91330,91380,0,,0,60,938415,60,0,0355P,K,O,1904,SURF AVENUE,,408,C3,BBBBBBB,ALL,ALL,GRN,0,0,-,0,,,,,
1353317766.00,60410JX,NY,COM,9/6/19,42,VAN,FORD,T,24890,18010,18030,20150831,17,17,0,348553,0NIC,0,0239P,NY,F,575,LEX AVE,,408,C,YYYYYYB,0700A,0700P,BL,0,2007,143-3731,0,,,,,
1357040581.00,T506561C,NY,SRF,9/9/19,19,SDN,LINCO,P,59990,18240,68090,20140228,110,110,110,949085,110,0,0838P,Q,F,90-15,QUEENS BLVD,,408,J6,BBBBBBB,ALL,ALL,BK,0,2005,-,0,,,,,
1356159977.00,FYA3585,NY,PAS,9/11/19,40,SDN,HONDA,P,42230,35080,35130,20140315,66,66,66,942715,66,0,1100P,K,F,717,FRIEL PLACE,,408,E2,BBBBBBB,ALL,ALL,GRAY,0,2009,-,3,,,,,
1347717950.00,FXV8696,NY,PAS,9/13/19,14,SUBN,MERCU,X,42730,85730,54070,20140228,79,79,165,951415,165,0,0645P,K,F,1440,FULTON ST,,408,F1,BBBBBBB,ALL,ALL,BLUE,0,2003,-,0,,,,,
1361515156.00,AP301F,NJ,PAS,9/13/19,46,DELV,PETER,P,10210,18820,18830,0,19,19,401,927391,401,0,0943A,NY,F,1650,3RD AVE,,408,L2,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,,
1361515170.00,12864KA,NY,COM,9/13/19,46,DELV,FORD,P,24890,18890,18910,0,19,19,401,927391,401,0,0946A,NY,F,1500,LEXINGTON AVE,,408,F1,BBBBBBB,ALL,ALL,WHT,0,2009,-,0,,,,,
1361473162.00,63001JM,NY,COM,9/16/19,46,DELV,GMC,P,27790,18690,18710,0,19,19,401,923913,401,0,0457P,NY,F,1036,PARK AVE,,408,F1,BBBBBBB,ALL,ALL,BR,0,1988,-,0,,,,,
1346215730.00,98198MD,NY,COM,9/18/19,20,VAN,FRUEH,P,10910,34930,14490,20140831,18,18,18,971061,18,0,0407P,NY,F,910,9TH AVE,,408,D,BBBBBBB,ALL,ALL,ORANG,0,2014,-,0,,,,,
