Table 3.21. Net Generation from Solar Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,
"by State, by Sector, 2021 and 2020 (Thousand Megawatthours)",,,,,,,,,,,,,,,,,,,,,,,,,
,All Sectors,,,,,,,Electric Power Sector,,,,Commercial Sector,,,,,,Industrial Sector,,,,,,Residential Sector,
"
 
","
 
",,,,,,,Electric Utilities,,"Independent
Power Producers",,,,,,,,,,,,,,,
"
 
 
",Estimated Generation From Utility and Small Scale Facilities,,,Generation at Utility Scale Facilities,,Estimated Small Scale Generation,,Generation at Utility Scale Facilities,,Generation at Utility Scale Facilities,,Estimated Generation From Utility and Small Scale Facilities,,Generation at Utility Scale Facilities,,Estimated Small Scale Generation,,Estimated Generation From Utility and Small Scale Facilities,,Generation at Utility Scale Facilities,,Estimated Small Scale Generation,,Estimated Small Scale Generation,
"Census Division
and State",Year 2021,Year 2020,"Percentage
Change",Year 2021,Year 2020,Year 2021,Year 2020,Year 2021,Year 2020,Year 2021,Year 2020,Year 2021,Year 2020,Year 2021,Year 2020,Year 2021,Year 2020,Year 2021,Year 2020,Year 2021,Year 2020,Year 2021,Year 2020,Year 2021,Year 2020
New England,"6,769","5,803",16.6%,"2,471","2,027","4,298","3,776",144,156,"2,312","1,854","2,411","2,041",10,11,"2,401","2,030",160,150,5,5,155,145,"1,742","1,602"
Connecticut,"1,129",949,19.0%,265,214,863,735,2,3,259,206,342,279,3,4,339,275,46,42,0,0,46,42,479,418
Maine,293,117,151.1%,158,28,136,89,0,0,158,28,68,32,0,0,68,32,0,0,0,0,0,0,67,57
Massachusetts,"4,120","3,726",10.6%,"1,587","1,404","2,533","2,322",86,92,"1,490","1,300","1,572","1,390",7,7,"1,565","1,383",100,96,5,5,95,91,873,847
New Hampshire,197,161,22.4%,4,4,193,157,0,0,4,4,73,53,0,0,73,53,11,9,0,0,11,9,110,95
Rhode Island,671,494,35.8%,284,195,387,299,0,0,284,195,286,220,0,0,286,220,1,0,0,0,1,0,99,79
Vermont,360,357,0.8%,173,183,186,174,56,61,118,122,70,66,0,0,70,66,2,2,0,0,2,2,114,106
Middle Atlantic,"8,786","7,668",14.6%,"2,760","2,284","6,025","5,384",115,77,"2,483","2,031","3,052","2,644",142,154,"2,910","2,490",310,306,21,22,289,283,"2,826","2,610"
New Jersey,"4,043","3,809",6.1%,"1,378","1,305","2,665","2,504",115,77,"1,128","1,082","1,373","1,301",128,139,"1,245","1,162",209,206,7,8,202,198,"1,218","1,143"
New York,"3,861","3,130",23.3%,"1,159",840,"2,702","2,290",0,0,"1,143",822,"1,465","1,148",10,11,"1,455","1,138",24,24,6,7,17,17,"1,230","1,136"
Pennsylvania,882,729,20.9%,224,139,658,590,0,0,212,128,214,195,4,4,210,191,77,75,7,8,69,68,379,331
East North Central,"4,344","1,965",121.1%,"2,549",849,"1,795","1,116",720,302,"1,816",536,979,582,12,9,967,573,73,60,2,2,71,58,757,484
Illinois,"1,438",506,184.2%,513,79,925,427,2,2,511,75,573,243,0,2,573,241,2,1,0,0,2,1,350,185
Indiana,791,526,50.4%,573,359,218,167,372,187,199,170,108,90,2,2,106,88,8,6,0,0,8,6,104,73
Michigan,616,310,98.7%,424,155,192,155,85,89,338,65,79,68,0,1,79,67,4,3,0,0,4,3,109,85
Ohio,950,400,137.3%,673,164,278,237,8,7,658,153,133,128,6,2,127,127,35,29,2,2,33,27,118,83
Wisconsin,549,223,146.7%,367,93,182,129,253,17,110,73,85,53,4,3,81,51,24,21,0,0,24,21,76,58
West North Central,"3,310","2,650",24.9%,"2,358","1,870",952,780,71,52,"2,287","1,817",402,358,0,1,402,358,44,32,0,0,44,32,507,391
